PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2012,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1017752.39,1034180.15,1071689.62,1072165.45,4195787.6
"a. Makanan dan Minuman, Selain Restoran",378037.27,381432.42,392516.77,393649.06,1545635.52
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",41828.68,42551.13,44587.19,43911.37,172878.37
c. Perumahan dan Perlengkapan Rumahtangga,137645.4,141726.37,147289.45,148382.78,575044.01
d. Kesehatan dan Pendidikan,68648.19,70398.64,72851.5,72610.21,284508.54
e. Transportasi dan Komunikasi,247354.46,250779.48,259572.82,260392.45,1018099.2
f. Restoran dan Hotel,91458.41,94004.39,98903.03,97000.79,381366.61
g. Lainnya,52779.98,53287.72,55968.86,56218.79,218255.35
2. Pengeluaran Konsumsi LNPRT,19578.39,20129.08,20937.46,21273.69,81918.62
3. Pengeluaran Konsumsi Pemerintah,119114.28,170034.9,158887.37,233782.45,681819
a. Konsumsi Kolektif,74497.39,105947.24,99224.88,141217.99,420887.5
b. Konsumsi Individu,44616.89,64087.66,59662.48,92564.46,260931.5
4. Pembentukan Modal Tetap Domestik Bruto,584460.64,626152.32,637811.69,679304.13,2527728.79
a. Bangunan,423271.62,442857.12,461944.87,483484.39,1811557.99
b. Mesin dan Perlengkapan,72145.78,77351.53,78142.44,79014.53,306654.28
c. Kendaraan,39037.07,42851.85,41871.53,47498.44,171258.89
d. Peralatan Lainnya,8558.88,9156.43,8948.21,9244.12,35907.65
e. CBR,29059.47,35995.69,34788.93,46923.1,146767.19
f. Produk Kekayaan Intelektual,12387.82,17939.7,12115.7,13139.56,55582.78
5. Perubahan Inventori,82372.21,67575.42,34965.99,-10730.52,174183.11
6. Ekspor Barang dan Jasa,469816.46,488592.47,478757.77,507897,1945063.7
a. Barang,424097.87,446015.22,434022.86,456888.38,1761024.33
a.1. Barang Non-migas,349974.08,367016.1,368086.94,394065.32,1479142.45
a.b. Barang migas,74123.79,78999.12,65935.91,62823.06,281881.88
b. Jasa,45718.59,42577.26,44734.92,51008.61,184039.37
7. Dikurangi Impor Barang dan Jasa,443128.64,501419.31,457237.35,508514.22,1910299.52
a. Barang,377203.04,430680.7,393199.61,430924.69,1632008.04
a.1. Barang Non-migas,306629.06,350787.39,323593.01,345271.11,1326280.57
a.b. Barang migas,70573.98,79893.31,69606.61,85653.58,305727.47
b. Jasa,65925.6,70738.61,64037.74,77589.53,278291.48
Diskrepansi Statistik,5614.47,23773.67,47819.75,-46325.78,30882.1
8. PRODUK DOMESTIK BRUTO,1855580.2,1929018.7,1993632.3,1948852.2,7727083.4
