PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2016,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1247309.52,1264230.04,1307794.26,1306974.15,5126307.97
"a. Makanan dan Minuman, Selain Restoran",455811.25,462157.42,478101.47,475124.06,1871194.19
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",49913.98,51390.8,52210.55,51898.67,205414.01
c. Perumahan dan Perlengkapan Rumahtangga,170841.51,172785.77,176483.73,177889.51,698000.52
d. Kesehatan dan Pendidikan,85669.83,87278.19,90430.75,90443.94,353822.71
e. Transportasi dan Komunikasi,307373.81,311036.38,324001.99,323758.05,1266170.22
f. Restoran dan Hotel,114753.86,116506.14,122112.55,122991.18,476363.73
g. Lainnya,62945.29,63075.34,64453.21,64868.75,255342.59
2. Pengeluaran Konsumsi LNPRT,25126.25,25759.71,26858.46,27617.86,105362.27
3. Pengeluaran Konsumsi Pemerintah,138468.21,187555.5,187162.02,261118.79,774304.53
a. Konsumsi Kolektif,84930.63,115234.46,115692.58,161809.23,477666.9
b. Konsumsi Individu,53537.58,72321.04,71469.44,99309.56,296637.63
4. Pembentukan Modal Tetap Domestik Bruto,725586.64,742915.46,769037.14,804045.44,3041584.68
a. Bangunan,544473.37,552231.51,576301.17,604203.97,2277210.01
b. Mesin dan Perlengkapan,67371.62,68812.49,69294.96,76244.02,281723.1
c. Kendaraan,35667.03,39770.29,47312.68,48529.91,171279.91
d. Peralatan Lainnya,12837.44,11756.07,12071.31,14020.96,50685.78
e. CBR,44837.32,46028,40710.26,42511.11,174086.69
f. Produk Kekayaan Intelektual,20399.85,24317.1,23346.76,18535.47,86599.19
5. Perubahan Inventori,53056.15,56147.8,60856.23,-36660.03,133400.15
6. Ekspor Barang dan Jasa,483046.66,497198.62,474544.39,516392.97,1971182.64
a. Barang,431004.76,445134.81,417290.71,459434.69,1752864.97
a.1. Barang Non-migas,366884.88,382860.98,355460.79,401387.82,1506594.47
a.b. Barang migas,64119.88,62273.83,61829.92,58046.87,246270.51
b. Jasa,52041.91,52063.81,57253.67,56958.28,218317.67
7. Dikurangi Impor Barang dan Jasa,443518.14,455895.82,431267.72,487451.47,1818133.16
a. Barang,382055.39,389892.12,370728.17,415662.65,1558338.32
a.1. Barang Non-migas,303108.1,310190.85,286734.85,337436.4,1237470.2
a.b. Barang migas,78947.29,79701.27,83993.32,78226.25,320868.12
b. Jasa,61462.76,66003.71,60539.56,71788.83,259794.84
Diskrepansi Statistik,35645.71,37533.69,34275.82,-6850.91,100604.32
8. PRODUK DOMESTIK BRUTO,2264721,2355445,2429260.6,2385186.8,9434613.4
