PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2010,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,926097.5,937226.82,959649.86,963088.73,3786062.9
"a. Makanan dan Minuman, Selain Restoran",359662.22,361890.62,364944.41,371102.15,1457599.41
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",37377.43,38019.27,40226.21,38599.32,154222.23
c. Perumahan dan Perlengkapan Rumahtangga,125337.42,127980.92,131104.94,131896.49,516319.76
d. Kesehatan dan Pendidikan,61439.94,63021.83,65979.17,64835.95,255276.89
e. Transportasi dan Komunikasi,218505.28,220780,228141.42,227470.96,894897.67
f. Restoran dan Hotel,82558.23,83522.52,86512.6,84564.53,337157.88
g. Lainnya,41216.99,42011.66,42741.11,44619.32,170589.07
2. Pengeluaran Konsumsi LNPRT,17615.77,17901.91,18489.86,18751.33,72758.87
3. Pengeluaran Konsumsi Pemerintah,101960.02,135089.77,154802.67,226325.53,618177.99
a. Konsumsi Kolektif,64528.24,82697.08,94019.44,139818.74,381063.49
b. Konsumsi Individu,37431.79,52392.69,60783.23,86506.79,237114.5
4. Pembentukan Modal Tetap Domestik Bruto,502873.55,523471.69,541676.74,559818.69,2127840.68
a. Bangunan,379699.3,391250.79,404412.62,405072.3,1580435.01
b. Mesin dan Perlengkapan,49206.09,53400.61,56955.73,60815.32,220377.75
c. Kendaraan,29429.4,29308.91,32545.62,31810.9,123094.83
d. Peralatan Lainnya,6949.25,7341.22,7855.84,8614.76,30761.07
e. CBR,26425.76,29271.57,30394.5,39571.61,125663.44
f. Produk Kekayaan Intelektual,11163.76,12898.6,9512.43,13933.79,47508.58
5. Perubahan Inventori,25406.36,50400.53,81674.62,-28386.91,129094.6
6. Ekspor Barang dan Jasa,394901.82,400357.77,405394.73,467263.51,1667917.83
a. Barang,360918.54,365040.04,367923.02,426413.37,1520294.97
a.1. Barang Non-migas,303239.85,304827.69,312395.88,346507.31,1266970.72
a.b. Barang migas,57678.69,60212.36,55527.14,79906.06,253324.25
b. Jasa,33983.28,35317.73,37471.71,40850.14,147622.86
7. Dikurangi Impor Barang dan Jasa,349673.83,376099.71,389296.97,422649.27,1537719.77
a. Barang,290341.77,315251.1,325969.98,349125.72,1280688.56
a.1. Barang Non-migas,230406.12,249144.01,263502.48,278826.89,1021879.49
a.b. Barang migas,59935.65,66107.09,62467.5,70298.83,258809.07
b. Jasa,59332.06,60848.61,63326.99,73523.55,257031.21
Diskrepansi Statistik,23175.11,20783.22,2718.39,-46676.71,0
8. PRODUK DOMESTIK BRUTO,1642356.3,1709132,1775109.9,1737534.9,6864133.1
