PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2015,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1188361.91,1202958.28,1245315.92,1244994.55,4881630.67
"a. Makanan dan Minuman, Selain Restoran",433070,438593.71,453522.03,451111.44,1776297.18
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",48367.46,49471.88,50644.33,50248.86,198732.53
c. Perumahan dan Perlengkapan Rumahtangga,162917.24,164669.52,168930.26,170290.36,666807.39
d. Kesehatan dan Pendidikan,81277.97,82575.17,85750.33,85876.21,335479.67
e. Transportasi dan Komunikasi,292371.54,295886.08,307674.38,307285.39,1203217.39
f. Restoran dan Hotel,108923.75,110331.06,115745.94,116792.22,451792.96
g. Lainnya,61433.96,61430.86,63048.66,63390.07,249303.55
2. Pengeluaran Konsumsi LNPRT,23612.49,24135.73,25179.85,25871.92,98799.99
3. Pengeluaran Konsumsi Pemerintah,133876.55,176584.36,192869.49,272067.59,775397.99
a. Konsumsi Kolektif,81976.77,106710.89,120861.97,167276.5,476826.12
b. Konsumsi Individu,51899.78,69873.47,72007.52,104791.1,298571.87
4. Pembentukan Modal Tetap Domestik Bruto,693216.77,713107.13,737766.63,767265.46,2911355.98
a. Bangunan,509890.87,525591.91,549086.66,580565.71,2165135.15
b. Mesin dan Perlengkapan,73414.31,74239.71,76545.22,77707.3,301906.54
c. Kendaraan,35748.15,37799.38,41242.55,38097.3,152887.38
d. Peralatan Lainnya,10158.38,10815.58,11902.55,12010.92,44887.43
e. CBR,43842.44,41550.23,39954.13,40779.1,166125.9
f. Produk Kekayaan Intelektual,20162.62,23110.32,19035.51,18105.13,80413.58
5. Perubahan Inventori,55061.13,57014.65,58384.68,-57612.55,112847.91
6. Ekspor Barang dan Jasa,498372.62,504800.7,504268.13,497025.53,2004466.99
a. Barang,450378.55,454288.52,449849.69,442617.79,1797134.54
a.1. Barang Non-migas,388995.57,392829.33,382536.07,373771.79,1538132.76
a.b. Barang migas,61382.98,61459.18,67313.62,68846,259001.78
b. Jasa,47994.08,50512.18,54418.45,54407.74,207332.45
7. Dikurangi Impor Barang dan Jasa,466762.94,472071.45,449673.09,474431.48,1862938.95
a. Barang,402497.99,402719.52,385686.22,405269.83,1596173.56
a.1. Barang Non-migas,325250.81,319995.89,303131.26,323713.62,1272091.58
a.b. Barang migas,77247.18,82723.63,82554.96,81556.21,324081.99
b. Jasa,64264.95,69351.92,63986.87,69161.65,266765.39
Diskrepansi Statistik,32301.47,32175,-1268.11,-2251.82,60956.52
8. PRODUK DOMESTIK BRUTO,2158040,2238704.4,2312843.5,2272929.2,8982517.1
