PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2013,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1075566.19,1089835.21,1128699.25,1129316.25,4423416.91
"a. Makanan dan Minuman, Selain Restoran",393928.44,397643.44,410500.46,410766.46,1612838.79
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",44187.05,44726.05,46772.05,46325.05,182010.2
c. Perumahan dan Perlengkapan Rumahtangga,147141.16,149444.17,155373.17,156468.17,608426.68
d. Kesehatan dan Pendidikan,72740.08,74282.08,77041.09,76728.09,300791.33
e. Transportasi dan Komunikasi,264218.29,267676.3,277156.31,276271.31,1085322.2
f. Restoran dan Hotel,96787.11,99005.11,103867.12,103662.12,403321.45
g. Lainnya,56564.06,57058.06,57989.06,59095.07,230706.26
2. Pengeluaran Konsumsi LNPRT,20854,21424,22340,24000,88618
3. Pengeluaran Konsumsi Pemerintah,122652,175299.71,178021.36,251839.01,727812.07
a. Konsumsi Kolektif,76137.59,112591.99,108910.32,158250.18,455890.08
b. Konsumsi Individu,46514.41,62707.72,69111.03,93588.83,271922
4. Pembentukan Modal Tetap Domestik Bruto,628573.64,659187.45,673791.17,692822.78,2654375.04
a. Bangunan,457181.25,478407.78,495100.53,502982.45,1933672.02
b. Mesin dan Perlengkapan,74977.52,76078.36,76286.83,80439.71,307782.42
c. Kendaraan,39747.32,42811.78,40677.94,38355.45,161592.49
d. Peralatan Lainnya,9092.81,9155.38,9066.44,10157.5,37472.13
e. CBR,32873.85,36752.13,35884.48,43569.74,149080.19
f. Produk Kekayaan Intelektual,14700.89,15982.02,16774.95,17317.93,64775.79
5. Perubahan Inventori,60975.81,78636.43,15726.13,-30884.81,124453.56
6. Ekspor Barang dan Jasa,486240.56,498870.82,485152.35,555849.94,2026113.68
a. Barang,438768.15,451310.76,435733.4,502337.82,1828150.13
a.1. Barang Non-migas,378883.03,389014.18,380325.94,436485.54,1584708.69
a.b. Barang migas,59885.12,62296.58,55407.46,65852.28,243441.45
b. Jasa,47472.41,47560.07,49418.95,53512.12,197963.55
7. Dikurangi Impor Barang dan Jasa,456061.85,505845.09,479782.79,504177.59,1945867.32
a. Barang,389257.48,433428.5,412545.51,429832.67,1665064.16
a.1. Barang Non-migas,306712.63,353048.64,331893.8,346573.6,1338228.67
a.b. Barang migas,82544.85,80379.86,80651.71,83259.07,326835.49
b. Jasa,66804.37,72416.59,67237.28,74344.92,280803.16
Diskrepansi Statistik,19595.15,19408.07,79650.63,-61077.98,57575.86
8. PRODUK DOMESTIK BRUTO,1958395.5,2036816.6,2103598.1,2057687.6,8156497.8
