PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2018,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1373633.78,1395305.62,1440669.1,1441847.77,5651456.27
"a. Makanan dan Minuman, Selain Restoran",503857.9,512474.25,529905.39,525883.05,2072120.58
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",54167.66,55353.44,55667.15,56281.82,221470.07
c. Perumahan dan Perlengkapan Rumahtangga,186132.46,188646.99,191843.52,194308.94,760931.91
d. Kesehatan dan Pendidikan,95709.71,96019.11,100112.7,99945.14,391786.66
e. Transportasi dan Komunikasi,339691.64,347008.26,360116.6,360556.51,1407373.01
f. Restoran dan Hotel,128039.93,129548.58,135761.2,136994.07,530343.78
g. Lainnya,66034.47,66255,67262.52,67878.25,267430.25
2. Pengeluaran Konsumsi LNPRT,29367.78,30421.72,30947.73,32232.61,122969.84
3. Pengeluaran Konsumsi Pemerintah,146068.56,193533.58,205734.33,283540.11,828876.59
a. Konsumsi Kolektif,88733.12,116554,124637.1,178086.39,508010.61
b. Konsumsi Individu,57335.44,76979.58,81097.23,105453.73,320865.98
4. Pembentukan Modal Tetap Domestik Bruto,820401.04,828060.11,880471.86,915377.24,3444310.25
a. Bangunan,611732.91,614783.89,646837.66,676917.13,2550271.59
b. Mesin dan Perlengkapan,84372.49,82296.43,97450.6,105307.86,369427.38
c. Kendaraan,51113.31,48337.88,52078.87,50299.61,201829.66
d. Peralatan Lainnya,15043.71,14304.19,15356.21,15291.38,59995.51
e. CBR,39794.44,46982.12,45867.7,47979.88,180624.14
f. Produk Kekayaan Intelektual,18344.18,21355.6,22880.82,19581.37,82161.98
5. Perubahan Inventori,68765.6,81439.27,45518.35,1646.41,197369.64
6. Ekspor Barang dan Jasa,553461.31,548583,598185.74,586164.85,2286394.89
a. Barang,494201.62,489856.57,528386.21,526034.04,2038478.44
a.1. Barang Non-migas,436308.14,428155.15,472600.42,468172.3,1805236
a.b. Barang migas,57893.49,61701.42,55785.79,57861.74,233242.43
b. Jasa,59259.68,58726.43,69799.54,60130.81,247916.46
7. Dikurangi Impor Barang dan Jasa,523195.61,526297.24,568282.63,585494.45,2203269.94
a. Barang,454812.68,455714.76,496697.91,508352.5,1915577.84
a.1. Barang Non-migas,377388.93,375223.54,410974.1,421344.64,1584931.21
a.b. Barang migas,77423.75,80491.22,85723.81,87007.85,330646.63
b. Jasa,68382.93,70582.48,71584.72,77141.96,287692.1
Diskrepansi Statistik,30195.04,52806.54,51087.72,-36344.94,97744.36
8. PRODUK DOMESTIK BRUTO,2498697.5,2603852.6,2684332.2,2638969.6,10425851.9
