PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2021,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1450447.95,1469141.77,1466410.51,1510661.62,5896661.85
"a. Makanan dan Minuman, Selain Restoran",544624.05,557526.28,557284.34,562691.82,2222126.49
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",53247.27,55981.61,55136.58,56676.67,221042.12
c. Perumahan dan Perlengkapan Rumahtangga,205300.62,206492.66,208856.54,211721.82,832371.64
d. Kesehatan dan Pendidikan,109277.4,105210.33,112135.55,111211.91,437835.19
e. Transportasi dan Komunikasi,336088.07,340929.71,332299.98,358853.62,1368171.38
f. Restoran dan Hotel,132798.51,133716.15,131013.24,138675.62,536203.53
g. Lainnya,69112.03,69285.02,69684.29,70830.15,278911.5
2. Pengeluaran Konsumsi LNPRT,31444.18,33654.94,33535.67,33777.13,132411.92
3. Pengeluaran Konsumsi Pemerintah,163832.9,212083.75,229749.47,305653.59,911319.71
a. Konsumsi Kolektif,92676.66,127593.28,121462.85,181053.81,522786.59
b. Konsumsi Individu,71156.24,84490.47,108286.62,124599.79,388533.12
4. Pembentukan Modal Tetap Domestik Bruto,874465.48,850707.02,889950.49,934095.81,3549218.8
a. Bangunan,658187.11,640998.61,662850.97,683465.53,2645502.22
b. Mesin dan Perlengkapan,90937.41,91501.46,92545.31,107289.26,382273.44
c. Kendaraan,49647.05,44300.92,45395.4,48550.56,187893.93
d. Peralatan Lainnya,13661.2,13881.63,14154.23,15093.08,56790.14
e. CBR,43018.63,40364.89,54710.56,59242.2,197336.28
f. Produk Kekayaan Intelektual,19014.08,19659.51,20294.02,20455.18,79422.79
5. Perubahan Inventori,61381.02,56016.23,8033.24,-62721.4,62709.09
6. Ekspor Barang dan Jasa,561927.5,601482.8,636331,659107.76,2458849.06
a. Barang,536127.84,575950.7,609177.78,625968.46,2347224.78
a.1. Barang Non-migas,481027.68,516328.09,557649.08,572468.36,2127473.21
a.b. Barang migas,55100.16,59622.61,51528.7,53500.1,219751.57
b. Jasa,25799.66,25532.1,27153.22,33139.3,111624.28
7. Dikurangi Impor Barang dan Jasa,487057.02,519481.59,510944.03,587634.42,2105117.06
a. Barang,438515.05,469199.57,460567.63,529295.65,1897577.9
a.1. Barang Non-migas,373563,397052.11,403397.19,453624.57,1627636.87
a.b. Barang migas,64952.05,72147.46,57170.44,75671.08,269941.03
b. Jasa,48541.97,50282.02,50376.41,58338.77,207539.16
Diskrepansi Statistik,28003.5,69460.3,63425.75,53116.8,214006.34
8. PRODUK DOMESTIK BRUTO,2684445.5,2773065.2,2816492.1,2846056.9,11120059.7
