PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1582192,1631160.42,1623663.56,1649237.89,6486253.87
"a. Makanan dan Minuman, Selain Restoran",583556.12,602511.99,595089.16,596935.03,2378092.3
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",58846.51,62519.58,59637.64,59887.81,240891.54
c. Perumahan dan Perlengkapan Rumahtangga,217779.08,221409.35,221704.48,227251.29,888144.19
d. Kesehatan dan Pendidikan,114509.87,115743.42,118088.28,117923.54,466265.12
e. Transportasi dan Komunikasi,388132.27,402378.55,403857.8,415834.62,1610203.24
f. Restoran dan Hotel,146520.2,152174,152288.62,156916.87,607899.69
g. Lainnya,72847.95,74423.53,72997.59,74488.72,294757.78
2. Pengeluaran Konsumsi LNPRT,35352.96,38385.62,37742.08,42175.96,153656.62
3. Pengeluaran Konsumsi Pemerintah,158084.72,223483.37,215206.69,299421.62,896196.41
a. Konsumsi Kolektif,97723.9,135902.55,126578.4,192861.07,553065.92
b. Konsumsi Individu,60360.82,87580.82,88628.29,106560.56,343130.49
4. Pembentukan Modal Tetap Domestik Bruto,929315.49,917570.4,988210.38,1013619.7,3848715.98
a. Bangunan,675748.35,668382.31,705188.12,728139.62,2777458.4
b. Mesin dan Perlengkapan,113380.19,114572.12,125017.65,129534.39,482504.35
c. Kendaraan,61770.67,54727.55,64485.54,58663.56,239647.31
d. Peralatan Lainnya,13724.46,12580.23,13370.48,14757.64,54432.81
e. CBR,45861.79,44325.45,56921.88,58535.35,205644.47
f. Produk Kekayaan Intelektual,18830.04,22982.75,23226.71,23989.14,89028.64
5. Perubahan Inventori,62675.38,59316.93,22361.27,-16681.21,127672.38
6. Ekspor Barang dan Jasa,718285.81,679303.18,728178.4,770067.7,2895835.1
a. Barang,663127.15,621960.47,661176.73,707183.82,2653448.17
a.1. Barang Non-migas,606003.82,565680.14,604615.36,647833.63,2424132.94
a.b. Barang migas,57123.33,56280.34,56561.37,59350.19,229315.22
b. Jasa,55158.66,57342.71,67001.67,62883.88,242386.93
7. Dikurangi Impor Barang dan Jasa,588738.37,568340.38,599024.2,624845.95,2380948.89
a. Barang,509844.83,488535.69,516328.14,545096.37,2059805.02
a.1. Barang Non-migas,434922.98,412247.27,432061.99,452883.5,1732115.74
a.b. Barang migas,74921.85,76288.42,84266.15,92212.86,327689.28
b. Jasa,78893.54,79804.69,82696.05,79749.58,321143.87
Diskrepansi Statistik,64371.6,94897.05,108654.72,6088.76,274012.13
8. PRODUK DOMESTIK BRUTO,2961539.6,3075776.6,3124992.9,3139084.5,12301393.6
