PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2022,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1513588.99,1550186.39,1545569.01,1578599.51,6187943.9
"a. Makanan dan Minuman, Selain Restoran",564260.65,580464.02,572168.77,582008.72,2298902.16
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",56704.16,58425.53,57574.55,57870.85,230575.09
c. Perumahan dan Perlengkapan Rumahtangga,211904.79,213337.69,213657.07,216735.56,855635.1
d. Kesehatan dan Pendidikan,111630.55,109699.89,113298.91,113762.41,448391.77
e. Transportasi dan Komunikasi,359760.02,373953.79,375064.63,387764.48,1496542.92
f. Restoran dan Hotel,138387.71,142552.17,142962.46,147546.36,571448.69
g. Lainnya,70941.12,71753.3,70842.63,72911.12,286448.17
2. Pengeluaran Konsumsi LNPRT,33302.23,35348.66,35544.14,35708.6,139903.63
3. Pengeluaran Konsumsi Pemerintah,153026.25,202300.26,224003.98,291227.74,870558.23
a. Konsumsi Kolektif,94994.8,112098.48,131522.24,182257.05,520872.57
b. Konsumsi Individu,58031.45,90201.78,92481.74,108970.69,349685.67
4. Pembentukan Modal Tetap Domestik Bruto,910124.96,876982.85,934275.34,965190.6,3686573.75
a. Bangunan,675185.36,646902.21,663305.12,684215.9,2669608.59
b. Mesin dan Perlengkapan,108373.53,106414.72,126288.98,126990.82,468068.04
c. Kendaraan,49778.87,47384.08,53176.01,56843.9,207182.85
d. Peralatan Lainnya,14485.72,13283.43,14169.12,14691.94,56630.2
e. CBR,44377.77,41966.95,55777.67,59400.25,201522.65
f. Produk Kekayaan Intelektual,17923.72,21031.46,21558.45,23047.78,83561.41
5. Perubahan Inventori,60312.02,53462.39,15667.77,-58692.95,70749.22
6. Ekspor Barang dan Jasa,642837.1,699671.72,757833.24,757674.39,2858016.46
a. Barang,612410.02,658178.04,708472.69,704340.36,2683401.11
a.1. Barang Non-migas,562895.09,601961.14,655526.38,651613.95,2471996.56
a.b. Barang migas,49514.93,56216.9,52946.31,52726.41,211404.55
b. Jasa,30427.09,41493.68,49360.55,53334.03,174615.35
7. Dikurangi Impor Barang dan Jasa,565273.27,587328.48,642418.89,625773.14,2420793.78
a. Barang,507560.39,516806.95,561839.64,546885.25,2133092.24
a.1. Barang Non-migas,437360.07,440797.63,473630.38,461911.7,1813699.78
a.b. Barang migas,70200.33,76009.32,88209.27,84973.55,319392.46
b. Jasa,57712.88,70521.53,80579.25,78887.89,287701.54
Diskrepansi Statistik,71414.42,93817.61,107450.31,44614.15,317296.48
8. PRODUK DOMESTIK BRUTO,2819332.7,2924441.4,2977924.9,2988548.9,11710247.9
