PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2011,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,964261.9,980156.57,1016155.36,1016714.74,3977288.56
"a. Makanan dan Minuman, Selain Restoran",363670.38,367145.02,379221.16,379508.62,1489545.17
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",39343.59,39887.97,41852.42,41266.16,162350.14
c. Perumahan dan Perlengkapan Rumahtangga,129959.07,133798.32,139336.73,140087.02,543181.14
d. Kesehatan dan Pendidikan,64783.33,66442.31,68885.68,68722.42,268833.74
e. Transportasi dan Komunikasi,231997.69,234733.71,243265.51,243676.97,953673.88
f. Restoran dan Hotel,84904.49,87391.93,92300.78,91271.29,355868.48
g. Lainnya,49603.35,50757.32,51293.07,52182.27,203836.01
2. Pengeluaran Konsumsi LNPRT,18435.36,18834.85,19574.75,19945.38,76790.34
3. Pengeluaran Konsumsi Pemerintah,110554.7,145606.7,162056.68,234073.61,652291.7
a. Konsumsi Kolektif,71815.26,93826.24,102109.42,140234.26,407985.18
b. Konsumsi Individu,38739.44,51780.46,59947.26,93839.35,244306.51
4. Pembentukan Modal Tetap Domestik Bruto,546295.29,568551.72,582733.97,618778.12,2316359.1
a. Bangunan,401372.53,415367.6,423960.24,434688.3,1675388.66
b. Mesin dan Perlengkapan,61229.3,66814.63,68669.91,76702.5,273416.33
c. Kendaraan,30205.87,32123.84,37919.86,42762.67,143012.24
d. Peralatan Lainnya,8272.62,8262.7,8618.68,9193.73,34347.73
e. CBR,30150.64,33524.92,31668.61,44264.53,139608.7
f. Produk Kekayaan Intelektual,15064.33,12458.04,11896.67,11166.4,50585.44
5. Perubahan Inventori,63971.24,54630.48,43030.89,-43425.27,118207.33
6. Ekspor Barang dan Jasa,439727.76,480363.29,491564.62,502612.27,1914267.94
a. Barang,399960.97,442826.57,448713.34,455162.5,1746663.39
a.1. Barang Non-migas,335542.23,362825.82,363897.21,379911.8,1442177.06
a.b. Barang migas,64418.74,80000.75,84816.14,75250.7,304486.33
b. Jasa,39766.78,37536.71,42851.28,47449.77,167604.55
7. Dikurangi Impor Barang dan Jasa,399021.5,434406.63,454970.14,480423.6,1768821.87
a. Barang,337364.88,369061.47,387031.75,402429.74,1495887.83
a.1. Barang Non-migas,273958.9,295321.18,306963.94,327270.51,1203514.53
a.b. Barang migas,63405.98,73740.28,80067.81,75159.23,292373.31
b. Jasa,61656.62,65345.17,67938.39,77993.86,272934.04
Diskrepansi Statistik,4506.45,2531.22,21703.57,-27489.05,1252.2
8. PRODUK DOMESTIK BRUTO,1748731.2,1816268.2,1881849.7,1840786.2,7287635.3
