PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2017,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1308761.65,1326685.98,1372039.98,1372141.03,5379628.64
"a. Makanan dan Minuman, Selain Restoran",479197.04,486016.27,503628.24,500419.79,1969261.34
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",51573.29,53353.19,53366.28,54053.19,212345.95
c. Perumahan dan Perlengkapan Rumahtangga,177712.27,179575.61,184034.52,185914.7,727237.1
d. Kesehatan dan Pendidikan,90929.28,91658.03,95104.38,95437.7,373129.39
e. Transportasi dan Komunikasi,323737.42,328325.83,341798.9,340511.95,1334374.09
f. Restoran dan Hotel,121105.38,123186.02,128240.03,129539.42,502070.85
g. Lainnya,64506.97,64571.02,65867.63,66264.3,261209.92
2. Pengeluaran Konsumsi LNPRT,27155.66,27957.74,28479.96,29071,112664.35
3. Pengeluaran Konsumsi Pemerintah,142182.68,183934.52,193619.44,271019.76,790756.4
a. Konsumsi Kolektif,86516.36,111629.98,118250.67,169058.61,485455.62
b. Konsumsi Individu,55666.33,72304.54,75368.78,101961.14,305300.78
4. Pembentukan Modal Tetap Domestik Bruto,760189.98,782620.7,823497.8,862454.52,3228763.01
a. Bangunan,576435.92,585748.51,612509.3,644578.09,2419271.82
b. Mesin dan Perlengkapan,68189.1,67309.52,79793.09,93248.7,308540.42
c. Kendaraan,44690.45,44754.92,49816.46,47196.71,186458.53
d. Peralatan Lainnya,12769.93,13341.63,14101.81,15162.61,55375.99
e. CBR,39982.14,46970.68,44729.38,44151.73,175833.93
f. Produk Kekayaan Intelektual,18122.45,24495.43,22547.77,18116.68,83282.32
5. Perubahan Inventori,60428.52,57137.14,46060.51,-36742.61,126883.56
6. Ekspor Barang dan Jasa,523324.33,510668.86,552347.63,560223.69,2146564.52
a. Barang,468021.51,454906.47,488947.63,503861.65,1915737.26
a.1. Barang Non-migas,404676.02,394892.63,425588.71,439582.15,1664739.51
a.b. Barang migas,63345.48,60013.84,63358.92,64279.5,250997.75
b. Jasa,55302.83,55762.39,63399.99,56362.05,230827.26
7. Dikurangi Impor Barang dan Jasa,464879.71,456855.27,497794.43,545289.75,1964819.17
a. Barang,402845.62,390422.22,431052.39,470092.86,1694413.09
a.1. Barang Non-migas,311651.85,315157.64,346894.06,381795.2,1355498.75
a.b. Barang migas,91193.77,75264.58,84158.33,88297.66,338914.34
b. Jasa,62034.09,66433.05,66742.04,75196.89,270406.08
Diskrepansi Statistik,20983.29,41363.23,34046.01,-3905.74,92486.79
8. PRODUK DOMESTIK BRUTO,2378146.4,2473512.9,2552296.9,2508971.9,9912928.1
