Fungsi APBN,,,
,Tabel Anggaran Belanja Pemerintah Pusat Berdasarkan Fungsi (Milyar Rupiah),,
,2005,2006,2007
Pelayanan umum,158559,263421,296828
Pertahanan,22001,28278,32722
Ketertiban dan keamanan,15586,25294,29211
Ekonomi,28016,39644,51250
Lingkungan hidup,3105,4477,5478
Perumahan dan fasilitas umum,2280,6049,10659
Kesehatan,7038,12730,17467
Pariwisata dan budaya,920,1025,1676
Agama,691,1104,2208
Pendidikan,25988,43287,54067
Perlindungan sosial,2036,2289,3210
Jumlah,266220,427598,504776
