Fungsi APBN,,,
,Tabel Anggaran Belanja Pemerintah Pusat Berdasarkan Fungsi (Milyar Rupiah),,
,2017,2018,2019
Pelayanan umum,355849,435905,517342
Pertahanan,108294,107829,108429
Ketertiban dan keamanan,121576,135993,142972
Ekonomi,310560,335464,389600
Lingkungan hidup,11919,15680,17764
Perumahan dan fasilitas umum,29683,31508,26516
Kesehatan,61724,65066,62758
Pariwisata dan budaya,5371,7456,5325
Agama,9727,9473,10143
Pendidikan,143134,147562,152690
Perlindungan sosial,157689,162557,200801
Jumlah,1315526,1454494,1634340
