Fungsi APBN,,,
,Tabel Anggaran Belanja Pemerintah Pusat Berdasarkan Fungsi (Milyar Rupiah),,
,2020,2021,2022
Pelayanan umum,474999.7,526181.3,627121.3
Pertahanan,131246.4,137185.6,134645.4
Ketertiban dan keamanan,162729,166632.2,176676.4
Ekonomi,406175.4,511338.1,399963.6
Lingkungan hidup,18360.6,16689.9,14109.2
Perumahan dan fasilitas umum,30359.5,33217.3,17291.7
Kesehatan,61148.3,111666.7,139502.1
Pariwisata dan budaya,5056.7,5261.4,3725.7
Agama,10090.8,11075.8,10598.6
Pendidikan,156894.4,175236.5,169230.4
Perlindungan sosial,226416.5,260063.6,251678
Jumlah,1683477.2,1954548.5,1944542.3
