Fungsi APBN,,,
,Tabel Anggaran Belanja Pemerintah Pusat Berdasarkan Fungsi (Milyar Rupiah),,
,2011,2012,2013
Pelayanan umum,517167,590841,720060
Pertahanan,47419,72473,81769
Ketertiban dan keamanan,22067,30196,36487
Ekonomi,101414,102734,122888
Lingkungan hidup,11070,11451,12446
Perumahan dan fasilitas umum,23425,26477,30722
Kesehatan,13649,15564,17493
Pariwisata dan budaya,2901,2454,2509
Agama,1397,3562,4100
Pendidikan,91483,103667,118467
Perlindungan sosial,4586,5578,7440
Jumlah,836578,964997,1154381
