Fungsi APBN,,,
,Tabel Anggaran Belanja Pemerintah Pusat Berdasarkan Fungsi (Milyar Rupiah),,
,2008,2009,2010
Pelayanan umum,372497,494766,495320
Pertahanan,13986,12279,20968
Ketertiban dan keamanan,15237,14451,14926
Ekonomi,63672,56853,57359
Lingkungan hidup,6734,7035,7889
Perumahan dan fasilitas umum,14129,18135,20907
Kesehatan,17270,17302,18002
Pariwisata dan budaya,1430,1490,1416
Agama,922,830,913
Pendidikan,64029,89918,84086
Perlindungan sosial,3525,3318,3457
Jumlah,573431,716376,725243
