Sumber Penerimaan - Keuangan,,,
,Realisasi Pendapatan Negara (Milyar Rupiah),,
,2007,2008,2009
I. Penerimaan,706108,979305,847096
Penerimaan Perpajakan,490988,658701,619922
 Pajak Dalam Negeri,470052,622359,601252
  Pajak Penghasilan,238431,327498,317615
  Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah,154527,209647,193067
  Pajak Bumi dan Bangunan,23724,25354,24270
  Bea Perolehan Hak atas Tanah dan Bangunan,5953,5573,6465
  Cukai,44679,51252,56719
  Pajak Lainnya,2738,3035,3116
 Pajak Perdagangan Internasional,20936,36342,18670
  Bea Masuk,16699,22764,18105
  Pajak Ekspor,4237,13578,565
Penerimaan Bukan Pajak,215120,320604,227174
 Penerimaan Sumber Daya Alam,132893,224463,138959
 Pendapatan dari Kekayaan Negara yang Dipisahkan,23223,29088,26050
 Penerimaan Bukan Pajak Lainnya,56873,63319,53796
 Pendapatan Badan Layanan Umum,2131,3734,8369
II. Hibah,1697.7,2304,1666.6
Jumlah,707806.1,981609.4,848763.2
